"","newTarget","Marital.status","Application.mode","Application.order","Course","Day.eve.attendance","Previous.qualification","Nationality","Mother.qualification","Father.qualification","Mother.occupation","Father.occupation","Displaced","Educational.special.needs","Debtor","Tuition.fees.up.to.date","Gender","Scholarship.holder","Age.at.enrollment","Fsem.without.eval","Ssem.credit","Ssem.enrolled","Ssem.eval","Ssem.grade","Ssem.without.eval","Unemployment.rate","Inflation.rate","GDP"
"879","1",1,1,2,14,1,1,1,13,14,8,11,0,0,0,1,1,0,19,0,0,5,5,11.6,0,9.4,-0.8,-3.12
"880","0",1,15,1,5,1,14,1,13,1,10,4,1,0,0,1,1,0,23,0,5,9,10,12.14285714,1,16.2,0.3,-0.92
"881","1",1,8,2,5,1,1,1,23,28,10,9,1,0,0,1,1,1,19,0,0,6,7,13.2,0,12.4,0.5,1.79
"882","1",1,1,1,2,1,1,1,3,2,3,6,1,0,0,1,1,0,19,0,0,0,0,0,0,9.4,-0.8,-3.12
"883","0",1,12,1,4,1,1,1,13,27,10,7,0,0,1,0,1,0,31,0,0,6,10,0,0,16.2,0.3,-0.92
"884","0",1,12,1,4,1,1,1,22,27,5,8,0,0,1,0,1,0,32,0,4,10,14,11.42857143,0,16.2,0.3,-0.92
"885","1",1,7,2,12,1,1,1,2,28,5,10,1,0,0,1,0,1,19,0,0,8,12,12.6,0,10.8,1.4,1.74
"886","1",1,13,1,15,1,6,1,19,24,1,1,1,0,0,1,0,0,34,0,5,10,12,12.33333333,0,7.6,2.6,0.32
"887","1",1,7,6,15,1,1,1,23,12,1,1,1,0,0,1,0,0,21,0,0,6,6,13,0,7.6,2.6,0.32
"888","1",1,14,2,10,1,1,1,22,27,10,8,1,0,0,1,0,1,53,0,2,7,9,11,0,9.4,-0.8,-3.12
"889","1",1,1,1,12,1,1,1,13,14,5,8,0,0,0,1,0,1,19,0,0,8,8,15.35,0,13.9,-0.3,0.79
"890","1",1,1,3,15,1,1,1,23,28,10,6,0,0,0,1,0,1,20,0,0,6,13,11.25,0,10.8,1.4,1.74
"891","1",1,1,2,15,1,1,1,1,14,10,10,1,0,0,1,0,0,18,0,0,6,6,14.66666667,0,10.8,1.4,1.74
"892","0",1,12,1,2,1,1,1,22,28,28,44,0,0,0,0,0,0,32,0,0,0,0,0,0,16.2,0.3,-0.92
"893","1",1,14,1,12,1,1,1,22,27,10,10,1,0,0,1,0,1,21,0,0,8,8,14.42857143,0,12.7,3.7,-1.7
"894","0",1,4,1,3,0,3,1,22,10,10,5,0,0,0,0,0,0,26,0,0,5,10,0,0,9.4,-0.8,-3.12
"895","1",1,13,1,6,1,14,1,1,1,5,8,1,0,0,1,0,0,26,10,9,13,27,12.46153846,5,15.5,2.8,-4.06
"896","0",2,15,1,17,0,14,1,1,27,5,10,0,0,0,0,0,0,21,0,0,5,10,13,0,15.5,2.8,-4.06
"897","1",1,8,1,15,1,1,1,22,27,6,6,0,0,0,1,0,0,18,0,0,6,9,13,0,7.6,2.6,0.32
"898","1",1,14,1,5,1,14,1,13,27,6,10,1,0,0,1,0,1,21,0,5,12,12,12.54545455,0,15.5,2.8,-4.06
"900","1",1,8,1,14,1,1,1,13,14,8,8,0,0,0,1,0,1,19,0,0,6,6,14,0,13.9,-0.3,0.79
"901","0",1,8,1,9,1,1,1,13,14,10,8,0,0,0,1,0,0,19,0,0,5,11,14,0,10.8,1.4,1.74
"902","1",1,14,2,10,1,1,1,23,28,6,6,0,0,0,1,0,1,19,0,0,6,11,11.2,0,10.8,1.4,1.74
"903","1",1,4,1,12,1,3,1,22,28,8,8,1,0,0,1,0,0,27,0,0,8,8,12.8875,0,9.4,-0.8,-3.12
"904","1",1,1,2,12,1,1,1,22,1,10,5,1,0,0,1,0,1,18,0,0,7,7,12.95,0,7.6,2.6,0.32
"905","0",1,1,2,9,1,1,1,13,14,10,10,1,0,0,1,0,0,20,2,0,5,5,0,0,12.7,3.7,-1.7
"906","1",1,1,3,12,1,1,1,1,1,6,6,1,0,0,1,0,1,19,0,0,8,8,12.55,0,12.4,0.5,1.79
"907","0",1,1,4,14,1,1,1,1,1,8,8,1,0,0,1,0,0,20,0,0,6,6,0,0,16.2,0.3,-0.92
"908","1",1,8,2,10,1,1,1,13,28,8,7,1,0,0,1,0,1,19,0,0,6,11,11,0,12.7,3.7,-1.7
"910","0",1,1,1,2,1,1,1,23,14,8,11,0,0,0,1,0,0,20,0,0,0,0,0,0,15.5,2.8,-4.06
"911","1",1,1,1,16,1,1,1,22,27,10,6,0,0,0,1,0,0,18,0,0,6,6,13.33333333,0,7.6,2.6,0.32
"912","1",1,1,1,6,1,1,1,13,1,6,5,1,0,0,1,0,0,20,0,0,5,5,13.4,0,10.8,1.4,1.74
"913","0",2,12,1,17,0,1,1,22,27,10,10,0,0,0,0,0,0,38,0,0,5,9,11,0,12.7,3.7,-1.7
"914","1",4,12,1,3,0,1,1,22,27,10,8,0,0,0,1,0,0,42,0,0,6,6,12,0,8.9,1.4,3.51
"915","0",1,12,1,12,1,1,1,22,27,10,7,0,0,0,1,0,0,32,0,0,8,0,0,0,13.9,-0.3,0.79
"916","1",1,6,1,15,1,1,12,13,14,5,6,1,0,0,1,0,0,22,0,0,6,6,13.66666667,0,12.4,0.5,1.79
"917","0",2,12,1,17,0,1,1,19,24,12,12,1,0,0,1,0,0,28,0,0,5,5,0,0,7.6,2.6,0.32
"918","0",2,12,1,3,0,7,1,22,27,9,11,1,0,0,1,0,0,37,0,0,6,0,0,0,9.4,-0.8,-3.12
"919","1",2,15,1,4,1,14,1,22,28,10,5,0,0,0,1,0,0,43,0,0,6,9,15,0,15.5,2.8,-4.06
"920","1",6,12,1,3,0,1,1,22,1,10,8,0,0,0,1,0,1,41,0,0,6,6,12.33333333,0,13.9,-0.3,0.79
"921","1",4,12,1,3,0,12,1,22,27,10,4,0,0,0,1,0,1,29,0,0,6,9,10.4,0,10.8,1.4,1.74
"922","1",1,12,1,3,0,1,1,22,27,10,10,0,0,0,1,0,1,35,0,0,6,7,11.5,0,10.8,1.4,1.74
"923","0",1,8,6,10,1,1,1,1,3,5,3,1,0,0,1,0,0,18,0,0,6,8,12.25,0,9.4,-0.8,-3.12
"924","0",1,12,1,12,1,12,1,22,27,10,7,0,0,0,0,0,1,39,0,0,7,9,10.5,0,16.2,0.3,-0.92
"926","1",1,12,1,12,1,1,1,22,27,10,8,1,0,0,1,0,1,26,0,0,7,7,13.7,0,7.6,2.6,0.32
"927","0",1,4,1,6,1,3,1,13,15,5,12,1,0,0,1,0,0,32,2,0,5,12,0,4,10.8,1.4,1.74
"930","0",1,1,1,10,1,1,1,13,27,1,1,1,0,0,1,0,0,19,4,0,6,0,0,0,7.6,2.6,0.32
"932","1",1,1,1,16,1,1,1,13,28,10,10,0,0,0,1,0,1,19,0,0,7,7,13.28571429,0,12.4,0.5,1.79
"933","1",2,4,1,14,1,3,1,22,27,8,8,0,0,0,1,0,0,32,0,2,8,10,15.11111111,0,13.9,-0.3,0.79
"934","0",2,12,1,9,1,1,1,22,27,10,10,1,0,0,1,0,0,31,0,0,5,9,11.5,0,7.6,2.6,0.32
"935","1",1,12,1,12,1,1,1,3,1,3,6,1,0,0,1,0,0,34,0,0,8,11,11.70571429,0,10.8,1.4,1.74
"936","1",1,1,3,2,1,1,1,1,1,4,4,1,0,0,1,0,0,20,0,4,11,14,14.33333333,0,8.9,1.4,3.51
"937","0",1,12,1,12,1,12,1,23,28,10,10,0,0,0,1,0,0,28,0,0,7,10,10,0,13.9,-0.3,0.79
"938","1",1,15,1,17,0,14,1,22,27,7,7,0,0,0,1,0,0,31,0,2,7,8,13.42857143,0,9.4,-0.8,-3.12
"940","0",4,12,1,3,0,12,1,22,27,12,8,0,0,0,0,0,0,31,0,0,6,9,11,0,9.4,-0.8,-3.12
"941","1",1,1,3,15,1,1,1,13,14,6,6,1,0,0,1,0,0,19,0,0,6,8,12.4,0,12.4,0.5,1.79
"942","1",1,1,1,10,1,1,1,22,14,10,5,1,0,0,1,0,1,19,0,0,6,8,12.28571429,0,16.2,0.3,-0.92
"944","0",1,4,1,6,1,3,1,1,14,10,11,0,0,0,1,0,0,34,0,0,6,0,0,0,15.5,2.8,-4.06
"945","1",1,7,1,13,1,1,1,22,27,10,8,1,0,0,1,0,1,18,0,0,8,8,16.075,0,12.4,0.5,1.79
"946","1",1,8,2,11,1,1,1,22,27,8,8,1,0,0,1,0,0,18,0,0,6,6,12.66666667,0,11.1,0.6,2.02
"947","1",1,1,1,9,1,1,1,3,14,4,4,0,0,1,1,1,0,19,0,0,5,11,12.83333333,5,16.2,0.3,-0.92
"948","0",1,8,2,15,1,1,1,3,5,1,3,1,0,0,0,1,1,22,0,0,4,8,0,0,7.6,2.6,0.32
"949","1",2,14,1,14,1,1,1,19,24,1,1,0,0,0,1,1,0,32,0,4,9,9,11.5,0,7.6,2.6,0.32
"950","0",1,12,1,9,1,1,1,22,3,10,3,0,0,0,1,1,0,61,0,0,5,0,0,0,15.5,2.8,-4.06
"951","1",1,12,1,17,0,1,1,22,27,10,10,1,0,0,1,1,0,30,0,0,5,5,11.6,0,7.6,2.6,0.32
"952","0",2,12,1,17,0,1,1,22,27,10,10,0,0,1,0,1,0,45,0,0,5,11,0,0,12.4,0.5,1.79
"953","1",1,15,1,4,1,14,1,1,14,5,9,0,0,0,1,1,0,20,0,0,6,6,12.66666667,0,12.4,0.5,1.79
"954","0",1,9,5,12,1,1,1,13,1,2,11,0,0,0,1,0,0,19,0,0,8,0,0,0,9.4,-0.8,-3.12
"955","0",1,13,1,7,1,1,1,3,1,3,10,1,0,0,1,1,0,26,0,4,11,11,12,0,7.6,2.6,0.32
"956","0",1,8,4,14,1,1,1,1,1,5,12,1,0,0,1,1,0,19,0,0,5,5,11,0,7.6,2.6,0.32
"957","1",1,8,1,15,1,1,1,13,27,10,10,0,0,0,1,1,1,19,0,0,6,7,11.66666667,0,16.2,0.3,-0.92
"958","1",1,1,3,15,1,1,1,23,1,10,5,1,0,0,1,1,0,19,0,0,6,7,13,0,12.4,0.5,1.79
"959","1",1,1,1,9,1,1,1,1,14,6,6,1,0,0,1,1,1,19,0,0,5,6,12.66666667,0,16.2,0.3,-0.92
"960","0",1,1,3,14,1,1,1,11,9,1,1,1,0,0,0,1,0,19,0,0,4,4,0,0,7.6,2.6,0.32
"961","0",1,12,1,14,1,1,1,19,24,1,1,1,0,0,0,1,0,28,0,0,5,8,11.5,1,7.6,2.6,0.32
"962","1",1,14,1,9,1,1,1,22,27,10,10,0,0,0,1,1,0,24,1,10,14,14,13.64285714,0,9.4,-0.8,-3.12
"963","1",1,1,1,8,1,1,1,3,1,3,5,0,0,0,1,1,0,18,0,0,5,5,13.2,0,7.6,2.6,0.32
"965","1",1,1,1,15,1,1,1,1,3,4,8,1,0,0,1,1,1,18,0,0,6,12,10.2,0,12.4,0.5,1.79
"966","1",1,15,1,4,1,14,1,4,1,3,9,0,0,0,1,1,0,21,0,0,6,9,12.4,0,8.9,1.4,3.51
"967","0",2,12,1,17,0,1,1,13,27,10,6,0,0,0,0,1,0,28,0,0,5,6,0,0,12.4,0.5,1.79
"968","0",1,12,1,4,1,9,1,22,14,10,11,0,0,0,1,1,0,58,0,0,6,6,0,0,13.9,-0.3,0.79
"969","0",2,12,1,17,0,1,1,19,24,1,1,1,0,0,0,1,0,49,0,0,5,5,0,0,7.6,2.6,0.32
"971","1",1,14,1,14,1,1,1,19,24,1,1,0,0,0,1,1,0,25,0,0,5,5,14.75,0,7.6,2.6,0.32
"972","0",4,13,1,9,1,1,1,22,28,8,4,1,0,0,1,1,0,33,0,0,5,5,0,0,7.6,2.6,0.32
"973","0",2,12,2,7,1,12,1,22,27,8,8,0,0,0,0,1,0,33,0,0,5,5,0,0,9.4,-0.8,-3.12
"974","1",2,14,1,16,1,1,1,22,27,8,8,0,0,0,1,1,0,40,0,0,4,5,15.5,0,13.9,-0.3,0.79
"975","1",2,12,1,17,0,1,1,22,14,10,4,0,0,0,1,1,0,48,0,0,5,8,11.125,0,16.2,0.3,-0.92
"977","1",1,12,1,12,1,12,1,23,28,10,9,1,0,0,1,1,0,24,1,0,7,7,12.66666667,1,7.6,2.6,0.32
"978","1",2,1,1,6,1,1,1,13,14,30,29,0,0,0,1,1,1,23,0,0,5,7,13.25,1,10.8,1.4,1.74
"979","0",1,12,1,17,0,12,1,13,27,8,6,1,0,1,0,1,0,39,0,0,5,7,14.66666667,0,10.8,1.4,1.74
"980","1",1,9,1,4,1,1,1,1,28,10,7,0,0,0,1,1,0,21,0,3,9,14,12.25,0,15.5,2.8,-4.06
"981","0",1,13,1,7,1,6,1,20,25,7,7,1,0,0,1,1,0,34,0,1,5,8,10.5,0,7.6,2.6,0.32
"983","1",1,1,1,15,1,1,1,1,28,5,6,0,0,0,1,1,0,18,0,0,6,6,12.5,0,12.7,3.7,-1.7
"985","0",1,1,1,9,1,1,1,1,1,3,11,0,0,0,1,1,0,19,0,0,5,8,16,0,7.6,2.6,0.32
"986","1",1,1,1,12,1,1,1,13,14,4,4,0,0,0,1,1,0,19,0,0,8,8,13.71428571,0,12.7,3.7,-1.7
"987","1",1,4,1,4,1,4,1,1,1,5,7,0,0,0,1,1,0,28,0,0,6,12,15.8,0,16.2,0.3,-0.92
"988","0",1,8,1,5,1,1,1,1,1,6,1,1,0,0,1,1,0,18,1,0,6,6,0,0,7.6,2.6,0.32
"989","0",1,1,1,10,1,1,1,2,2,4,5,1,0,0,1,1,0,19,0,0,6,12,10,0,11.1,0.6,2.02
"990","0",1,8,2,6,1,1,1,13,28,10,2,1,0,1,0,1,0,19,0,0,6,19,13.5,0,12.4,0.5,1.79
"991","1",1,8,1,12,1,1,1,1,3,10,3,1,0,0,1,0,0,18,0,0,8,11,16.32727273,0,16.2,0.3,-0.92
"992","1",1,1,1,8,1,1,1,3,3,3,3,1,0,0,1,0,0,18,0,0,6,8,14.8,0,12.4,0.5,1.79
"993","0",1,1,1,15,1,1,1,1,3,4,4,1,0,0,1,0,0,18,0,0,6,7,11,0,11.1,0.6,2.02
"994","1",1,15,2,10,1,14,1,3,14,5,10,1,0,0,1,0,0,19,0,2,6,6,13.5,0,12.4,0.5,1.79
"995","1",2,4,1,10,1,3,1,22,27,29,43,0,0,0,1,0,0,31,0,0,6,10,14.6,0,12.7,3.7,-1.7
"996","1",1,12,1,3,0,1,1,22,27,10,9,0,0,0,1,0,1,33,0,0,6,6,14.33333333,0,12.7,3.7,-1.7
"999","1",1,8,1,11,1,1,1,1,14,4,4,1,0,0,1,0,0,19,0,0,6,8,13.4,0,11.1,0.6,2.02
"1000","0",1,1,3,5,1,1,1,19,24,1,1,1,0,0,1,0,0,18,0,0,6,6,13,0,7.6,2.6,0.32
"1001","0",1,8,3,5,1,1,1,23,1,6,6,0,1,0,1,0,0,18,0,0,6,0,0,0,15.5,2.8,-4.06
"1002","0",1,1,5,14,1,1,1,13,28,10,10,1,0,0,0,0,0,18,0,0,6,0,0,0,8.9,1.4,3.51
"1003","1",1,1,1,2,1,1,1,3,4,3,6,1,0,0,1,0,0,18,0,0,0,0,0,0,11.1,0.6,2.02
"1004","1",1,8,2,9,1,1,1,13,14,8,8,1,0,0,1,0,1,19,0,0,5,5,11,0,12.4,0.5,1.79
"1005","0",1,8,2,10,1,1,1,1,3,4,5,1,0,0,1,0,0,18,0,0,6,7,17.42857143,0,11.1,0.6,2.02
"1006","1",1,8,1,6,1,1,1,3,14,6,6,1,0,0,1,0,0,18,1,0,5,5,12,0,12.7,3.7,-1.7
"1007","1",1,8,6,12,1,1,1,22,27,10,7,1,0,0,1,0,1,18,0,0,8,8,15.22857143,0,12.7,3.7,-1.7
"1008","1",1,17,1,10,1,16,1,22,27,10,11,1,0,0,1,0,0,21,0,4,9,9,13.22222222,0,8.9,1.4,3.51
"1009","1",1,1,1,12,1,1,1,13,27,6,6,0,0,0,1,0,1,18,0,0,8,8,14.42857143,0,12.7,3.7,-1.7
"1010","1",1,8,3,14,1,1,1,1,28,4,4,1,0,0,1,0,0,18,0,0,6,7,13.71428571,0,11.1,0.6,2.02
"1011","1",1,1,2,12,1,1,1,13,14,10,11,1,0,0,1,0,0,18,0,0,8,13,13.19333333,0,15.5,2.8,-4.06
"1012","1",1,8,1,12,1,1,1,13,1,5,4,1,0,0,1,0,0,20,0,0,8,10,12.4125,0,16.2,0.3,-0.92
"1013","1",1,8,1,9,1,1,1,1,28,5,6,0,0,0,1,0,1,18,0,0,5,8,12,0,12.7,3.7,-1.7
"1014","0",1,1,2,15,1,1,1,13,1,5,6,1,0,0,1,0,0,18,0,0,6,0,0,0,11.1,0.6,2.02
"1015","1",1,9,2,9,1,1,1,22,28,29,28,1,0,0,1,0,1,20,0,0,5,6,11.6,0,8.9,1.4,3.51
"1016","1",1,8,1,11,1,1,1,13,14,10,9,1,0,0,1,0,0,20,0,0,6,6,12.33333333,0,12.4,0.5,1.79
"1017","0",1,8,1,9,1,1,1,22,1,10,10,1,0,1,1,0,1,19,0,0,5,5,0,0,11.1,0.6,2.02
"1018","1",1,16,1,5,1,1,1,3,1,4,6,0,0,0,1,0,1,19,0,5,11,11,12.90909091,0,11.1,0.6,2.02
"1019","0",1,8,4,14,1,1,1,13,27,10,13,1,1,1,0,0,1,18,0,0,6,0,0,0,12.7,3.7,-1.7
"1020","1",1,8,3,15,1,1,1,1,1,5,10,1,0,1,1,0,1,19,0,0,6,7,12.28571429,0,15.5,2.8,-4.06
"1021","1",1,1,2,12,1,1,1,1,28,5,8,1,0,0,1,0,1,20,0,0,8,8,12.98125,0,9.4,-0.8,-3.12
"1022","1",1,15,1,9,1,14,1,13,1,5,10,1,0,0,1,0,0,21,0,1,5,6,11.2,0,11.1,0.6,2.02
"1023","1",1,14,2,12,1,1,1,26,3,3,3,0,0,0,1,0,0,21,0,0,8,12,11.68,0,10.8,1.4,1.74
"1024","1",1,8,1,5,1,1,1,23,28,10,10,0,0,0,1,0,0,20,0,0,6,7,13.5,0,11.1,0.6,2.02
"1025","1",1,9,2,16,1,1,1,23,28,29,36,1,0,0,1,0,0,19,0,0,7,8,12.85714286,0,8.9,1.4,3.51
"1026","0",1,8,3,6,1,1,1,1,14,5,12,0,0,0,0,0,0,21,0,0,5,7,10.5,0,7.6,2.6,0.32
"1027","1",1,1,1,6,1,1,1,18,14,5,12,0,0,0,1,0,0,18,0,0,5,7,11.8,0,7.6,2.6,0.32
"1028","1",1,1,5,11,1,1,1,13,27,10,10,0,0,0,1,0,1,19,0,0,6,7,12.2,0,8.9,1.4,3.51
"1029","1",1,8,2,12,1,1,1,13,14,10,5,1,0,0,1,0,0,18,0,0,8,8,14.875,0,13.9,-0.3,0.79
"1030","1",1,1,4,12,1,1,1,1,1,10,10,1,0,0,1,0,1,19,0,0,8,8,13.31428571,0,12.7,3.7,-1.7
"1031","1",1,1,2,9,1,1,1,1,14,5,4,1,0,0,1,0,1,18,0,0,5,12,10.5,0,13.9,-0.3,0.79
"1033","1",1,1,1,15,1,1,1,22,27,9,9,0,0,0,1,0,0,18,0,0,6,7,14.14285714,0,13.9,-0.3,0.79
"1034","1",1,8,1,6,1,1,1,1,27,10,10,1,0,0,1,0,1,18,0,0,5,8,15.57142857,0,10.8,1.4,1.74
"1035","0",1,8,1,5,1,1,1,23,14,8,8,1,0,0,1,0,0,18,0,0,6,6,0,0,12.4,0.5,1.79
"1037","0",1,8,1,10,1,1,1,1,28,10,8,0,0,0,1,0,0,18,0,0,6,0,0,0,11.1,0.6,2.02
"1038","1",1,1,1,10,1,1,1,1,3,5,3,0,0,0,1,0,0,18,0,0,6,6,13.16666667,0,10.8,1.4,1.74
"1039","1",1,13,1,6,1,1,1,1,28,5,10,1,0,0,1,0,1,20,0,1,6,11,12.83333333,0,13.9,-0.3,0.79
"1040","1",1,1,1,16,1,1,1,3,1,3,6,0,0,0,1,0,0,18,0,0,6,10,10.6,0,15.5,2.8,-4.06
"1041","1",1,8,4,5,1,1,1,1,14,5,6,1,0,0,1,0,0,18,0,0,6,7,10.4,1,16.2,0.3,-0.92
"1042","1",1,9,6,12,1,1,1,22,27,10,8,0,0,0,1,0,1,20,1,0,8,8,12.79142857,1,10.8,1.4,1.74
"1043","1",4,14,1,14,1,1,1,22,27,10,7,0,0,0,1,0,0,40,0,3,7,12,11.2,0,9.4,-0.8,-3.12
"1044","1",1,1,6,12,1,1,1,23,28,10,10,1,0,0,1,0,1,18,0,0,8,11,12.43142857,0,15.5,2.8,-4.06
"1045","1",1,1,5,11,1,1,1,13,14,5,8,1,0,0,1,0,0,19,0,0,6,12,12.2,0,13.9,-0.3,0.79
"1046","0",1,4,1,17,0,15,1,1,14,5,10,0,0,0,1,0,0,24,0,0,5,6,0,0,12.4,0.5,1.79
"1047","0",1,1,3,15,1,1,1,3,28,3,11,1,0,0,1,0,0,19,0,0,6,7,13.16666667,0,10.8,1.4,1.74
"1048","1",1,1,6,12,1,1,1,2,1,5,5,1,0,0,1,0,0,19,0,0,8,8,14.1,0,10.8,1.4,1.74
"1049","1",1,1,1,12,1,1,1,1,14,10,7,1,0,0,1,0,1,20,0,0,8,9,12.94285714,0,11.1,0.6,2.02
"1050","1",1,1,1,12,1,1,1,23,28,6,6,0,0,0,1,0,0,18,0,0,8,8,16.0875,0,12.4,0.5,1.79
"1051","1",1,1,1,2,1,1,1,1,28,5,9,1,0,0,1,0,1,18,0,0,0,0,0,0,13.9,-0.3,0.79
"1052","1",1,8,2,12,1,1,1,13,27,5,8,1,0,0,1,0,0,19,0,0,8,8,15.1,0,13.9,-0.3,0.79
"1053","0",1,8,3,12,1,1,1,3,3,5,6,1,0,0,1,0,0,18,0,0,8,8,15.2,0,13.9,-0.3,0.79
"1054","1",1,15,1,6,1,14,1,3,3,3,3,1,0,0,1,0,0,19,0,0,6,19,13,0,12.4,0.5,1.79
"1055","1",1,1,2,12,1,1,1,22,27,10,8,1,0,0,1,0,1,19,0,0,8,8,15.8625,0,13.9,-0.3,0.79
"1056","1",1,1,1,12,1,1,1,13,14,6,8,0,0,0,1,0,1,19,0,0,8,9,14.67142857,0,12.4,0.5,1.79
"1057","0",1,1,2,12,1,1,1,1,27,5,5,1,0,0,1,0,1,19,0,0,8,9,12.24285714,0,11.1,0.6,2.02
"1058","1",1,1,1,12,1,1,1,1,28,2,8,0,0,0,1,0,0,19,0,0,7,7,14.56666667,0,7.6,2.6,0.32
"1059","0",1,12,1,14,1,9,1,1,14,2,6,1,0,1,0,0,0,25,0,0,5,5,11.25,0,9.4,-0.8,-3.12
"1060","1",1,1,1,12,1,1,1,13,14,5,11,0,0,0,1,0,0,20,0,0,8,8,12.68571429,0,12.7,3.7,-1.7
"1061","0",1,17,1,10,1,16,1,1,14,6,6,0,0,1,0,0,0,23,0,4,9,14,13.25,0,8.9,1.4,3.51
"1062","0",1,1,1,5,1,1,1,13,14,8,8,0,0,0,1,0,0,20,0,0,6,0,0,0,15.5,2.8,-4.06
"1063","1",1,12,1,3,0,1,1,22,9,10,11,0,0,0,1,0,0,27,0,0,6,7,11.16666667,0,11.1,0.6,2.02
"1064","1",1,1,1,12,1,1,1,13,1,5,5,0,0,0,1,0,0,18,0,0,8,8,14.445,0,9.4,-0.8,-3.12
"1065","0",1,1,1,16,1,1,1,13,1,6,11,1,0,1,1,0,0,18,0,0,6,10,11.75,0,9.4,-0.8,-3.12
"1066","0",1,4,1,3,0,15,1,13,1,6,11,1,0,1,0,0,0,23,0,4,10,11,14.625,0,13.9,-0.3,0.79
"1067","1",1,1,6,12,1,1,1,23,27,6,7,1,0,0,1,0,1,19,0,0,7,7,13.41666667,0,7.6,2.6,0.32
"1068","1",1,1,1,9,1,1,1,22,28,4,4,0,0,0,1,0,0,18,2,0,5,7,11.4,0,15.5,2.8,-4.06
"1069","1",1,14,1,12,1,1,1,1,14,10,9,1,0,0,1,0,0,20,0,0,8,8,14.8125,0,13.9,-0.3,0.79
"1070","1",1,1,2,14,1,1,1,13,14,10,10,1,0,0,1,0,0,18,0,0,6,10,12.8,0,12.4,0.5,1.79
"1071","1",1,1,1,12,1,1,1,1,1,5,5,1,0,0,1,0,1,19,0,0,8,8,14.75,0,9.4,-0.8,-3.12
"1072","1",1,15,1,10,1,14,1,13,14,9,9,1,0,0,1,0,1,19,0,2,6,6,14.33333333,0,12.4,0.5,1.79
"1074","1",1,1,1,6,1,1,1,3,3,2,12,0,0,0,1,0,0,18,0,0,5,8,14.85714286,0,7.6,2.6,0.32
"1075","1",1,1,1,10,1,1,1,22,27,10,6,0,0,0,1,0,0,18,0,0,6,7,13,0,9.4,-0.8,-3.12
"1076","1",1,1,2,15,1,1,1,13,14,5,8,1,0,0,1,0,0,18,0,0,6,6,12,0,11.1,0.6,2.02
"1077","0",1,2,1,16,1,1,1,13,28,10,10,0,0,0,0,0,0,28,0,8,8,8,12,0,15.5,2.8,-4.06
"1078","0",1,8,1,11,1,1,1,22,27,6,10,1,0,0,1,0,0,19,0,0,6,11,14,0,7.6,2.6,0.32
"1079","0",1,14,1,2,1,1,1,3,1,3,4,1,0,1,1,0,0,20,0,0,0,0,0,0,13.9,-0.3,0.79
"1080","1",1,1,2,12,1,1,1,1,27,5,10,1,0,0,1,0,1,19,0,0,8,9,13.61428571,0,12.4,0.5,1.79
"1081","1",1,1,1,5,1,1,1,1,14,5,1,0,1,0,1,0,1,20,0,0,6,6,12.66666667,0,11.1,0.6,2.02
"1082","1",1,1,2,11,1,1,1,13,14,10,10,1,0,0,1,0,1,19,0,0,6,8,11,0,12.4,0.5,1.79
"1084","1",1,1,1,16,1,1,1,1,14,10,5,1,0,0,1,0,1,19,0,0,7,7,14.85714286,0,11.1,0.6,2.02
"1085","1",1,1,2,5,1,1,1,13,1,10,4,1,0,0,1,0,1,18,1,0,6,8,12.625,0,13.9,-0.3,0.79
"1086","0",1,8,2,8,1,1,1,3,1,3,2,0,0,0,1,0,0,19,0,0,6,0,0,0,15.5,2.8,-4.06
"1087","1",1,8,1,14,1,1,1,10,28,10,6,0,0,0,1,0,1,19,0,0,6,9,13.66666667,0,8.9,1.4,3.51
"1088","1",1,1,1,15,1,1,1,23,14,18,16,0,0,1,1,0,0,20,0,0,6,6,13.16666667,0,16.2,0.3,-0.92
"1091","1",1,8,1,8,1,1,1,1,1,5,6,0,0,0,1,0,0,18,0,0,5,6,12,0,7.6,2.6,0.32
"1092","0",1,8,3,15,1,1,1,13,14,6,9,0,0,0,1,0,0,18,0,0,6,0,0,0,8.9,1.4,3.51
"1093","1",1,8,3,10,1,1,1,22,28,1,8,1,0,0,1,0,0,18,0,0,6,6,11.66666667,0,7.6,2.6,0.32
"1094","0",1,9,4,15,1,1,1,13,14,5,5,1,0,0,1,0,0,20,0,0,6,8,11.57142857,0,15.5,2.8,-4.06
"1095","1",1,8,3,12,1,1,1,13,1,10,10,1,0,0,1,0,1,19,0,0,8,10,12.55,0,12.4,0.5,1.79
"1096","0",1,1,1,16,1,1,1,22,27,10,10,1,0,1,0,0,0,21,0,0,6,7,10.66666667,0,15.5,2.8,-4.06
"1097","0",1,8,1,14,1,3,1,10,3,6,9,1,0,1,0,0,0,20,0,0,6,9,0,0,10.8,1.4,1.74
"1098","1",1,1,1,11,1,1,1,22,28,10,10,1,0,0,1,0,0,18,0,0,6,8,11.25,0,9.4,-0.8,-3.12
"1099","1",1,1,1,15,1,1,1,1,4,6,4,0,0,0,1,0,1,20,0,0,6,6,12.83333333,0,10.8,1.4,1.74
"1100","1",1,1,2,12,1,1,1,13,27,2,10,1,0,0,1,0,1,19,0,0,8,8,14.07125,0,9.4,-0.8,-3.12
"1101","0",1,1,1,6,1,6,1,13,14,10,10,1,0,0,1,0,0,22,3,0,5,9,13.2,4,9.4,-0.8,-3.12
